,CC1,CC2,CC3,CT1,Nuc1,Sol1,WindNew,CCNew,CTNew
1,0.0,0.0,0.0,0.0,-9.09494701772928e-13,0.0,810.000000000001,0.0,0.0
2,0.0,0.0,0.0,0.0,-3.63797880709171e-12,0.0,675.000000000004,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0
6,0.0,0.0,0.0,0.0,-1.81898940354586e-12,0.0,945.000000000002,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0
8,0.0,0.0,0.0,0.0,-1.81898940354586e-12,0.0,1215.0,0.0,0.0
9,0.0,0.0,0.0,0.0,-1.81898940354586e-12,50.0,1300.0,0.0,0.0
10,0.0,0.0,0.0,0.0,-5.00222085975111e-12,125.0,1261.00000000001,0.0,0.0
11,0.0,0.0,0.0,0.0,2.27373675443232e-13,200.0,1330.0,0.0,0.0
12,0.0,0.0,0.0,0.0,-2.50111042987555e-12,325.0,1295.0,0.0,0.0
13,0.0,0.0,0.0,0.0,500.0,450.0,0.0,778.0,0.0
14,0.0,0.0,0.0,0.0,500.0,500.0,674.999999999999,125.000000000001,0.0
15,0.0,0.0,0.0,0.0,-9.09494701772928e-13,450.0,1296.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,325.0,1295.0,0.0,0.0
17,0.0,0.0,0.0,0.0,-2.27373675443232e-12,200.0,1350.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,125.0,1360.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,50.0,1210.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0
