t,SUM_LOAD
1/1/2024 5:00,82660.1
1/1/2024 6:00,81280.4
1/1/2024 7:00,80044.5
1/1/2024 8:00,79290.9
1/1/2024 9:00,79860.8
1/1/2024 10:00,81398.8
1/1/2024 11:00,83212.2
1/1/2024 12:00,84682.3
1/1/2024 13:00,85844.5
1/1/2024 14:00,86995.7
1/1/2024 15:00,88136.7
1/1/2024 16:00,88949.9
1/1/2024 17:00,89814.7
1/1/2024 18:00,90593.9
1/1/2024 19:00,90914.4
1/1/2024 20:00,91913.3
1/1/2024 21:00,94504.7
1/1/2024 22:00,98363.6
1/1/2024 23:00,98732.4
1/2/2024 0:00,97756.9
1/2/2024 1:00,95970.1
1/2/2024 2:00,93968.8
1/2/2024 3:00,90388.2
1/2/2024 4:00,86895.9
1/2/2024 5:00,84495.4
1/2/2024 6:00,83213.7
1/2/2024 7:00,82558.2
1/2/2024 8:00,83013.7
1/2/2024 9:00,85131.2
1/2/2024 10:00,89771.1
1/2/2024 11:00,96767.3
1/2/2024 12:00,102111.6
1/2/2024 13:00,103143.7
1/2/2024 14:00,102199
1/2/2024 15:00,100885.9
1/2/2024 16:00,98760.9
1/2/2024 17:00,97346.9
1/2/2024 18:00,96553.1
1/2/2024 19:00,96134.7
1/2/2024 20:00,96780.3
1/2/2024 21:00,100096.4
1/2/2024 22:00,105835.9
1/2/2024 23:00,107639.3
1/3/2024 0:00,107088.1
1/3/2024 1:00,105786.6
1/3/2024 2:00,103229.4
1/3/2024 3:00,99342.2
1/3/2024 4:00,95566.9
1/3/2024 5:00,92863
1/3/2024 6:00,91528.8
1/3/2024 7:00,91001.7
1/3/2024 8:00,91454.2
1/3/2024 9:00,93295.5
1/3/2024 10:00,97891
1/3/2024 11:00,104998.1
1/3/2024 12:00,109553
1/3/2024 13:00,109012.5
1/3/2024 14:00,104966.3
1/3/2024 15:00,101062.3
1/3/2024 16:00,98494.8
1/3/2024 17:00,96854.5
1/3/2024 18:00,96059.9
1/3/2024 19:00,95734.8
1/3/2024 20:00,97130.1
1/3/2024 21:00,100424.7
1/3/2024 22:00,105258.7
1/3/2024 23:00,106045.5
1/4/2024 0:00,105037
1/4/2024 1:00,103601.6
1/4/2024 2:00,100584.4
1/4/2024 3:00,95986.6
1/4/2024 4:00,91425.8
1/4/2024 5:00,88149.1
1/4/2024 6:00,86553.8
1/4/2024 7:00,85664.9
1/4/2024 8:00,85756.6
1/4/2024 9:00,87375.4
1/4/2024 10:00,91882.1
1/4/2024 11:00,98802.5
1/4/2024 12:00,103568.8
1/4/2024 13:00,104519.7
1/4/2024 14:00,104259.6
1/4/2024 15:00,103594.4
1/4/2024 16:00,102161.2
1/4/2024 17:00,101272.2
1/4/2024 18:00,101059.1
1/4/2024 19:00,100255.1
1/4/2024 20:00,100150.9
1/4/2024 21:00,102793.3
1/4/2024 22:00,108384
1/4/2024 23:00,110466.3
1/5/2024 0:00,110218.6
1/5/2024 1:00,109115
1/5/2024 2:00,106725.3
1/5/2024 3:00,102859.6
1/5/2024 4:00,99154.1
1/5/2024 5:00,96768.6
1/5/2024 6:00,95743.5
1/5/2024 7:00,95585
1/5/2024 8:00,96313.9
1/5/2024 9:00,98505.9
1/5/2024 10:00,103467.5
1/5/2024 11:00,110773.9
1/5/2024 12:00,115826.3
1/5/2024 13:00,115140.1
1/5/2024 14:00,110615.2
1/5/2024 15:00,105968.2
1/5/2024 16:00,102259.6
1/5/2024 17:00,99423.6
1/5/2024 18:00,97278.1
1/5/2024 19:00,96338.6
1/5/2024 20:00,97184.9
1/5/2024 21:00,100925.7
1/5/2024 22:00,106528.8
1/5/2024 23:00,107921.2
1/6/2024 0:00,107439
1/6/2024 1:00,106351.1
1/6/2024 2:00,104219.4
1/6/2024 3:00,100825.1
1/6/2024 4:00,97032.1
1/6/2024 5:00,94257.4
1/6/2024 6:00,92465.8
1/6/2024 7:00,91138
1/6/2024 8:00,90628.9
1/6/2024 9:00,90790.7
